event_date,campaign_id,exchange_name,device_type,impressions,clicks,conversions,spend_usd,ingested_at
2026-08-01,2001,OpenX,mobile,125000,1430,62,711.45,2026-08-02 03:12:00
2026-08-01,2001,PubMatic,desktop,83000,804,31,421.18,2026-08-02 03:18:00
2026-08-01,2002,OpenX,mobile,61000,1098,84,389.22,2026-08-02 03:14:00
2026-08-01,2003,Index Exchange,desktop,210000,1260,9,873.64,2026-08-02 03:22:00
2026-08-01,2004,PubMatic,mobile,145000,1870,44,1124.20,2026-08-02 03:17:00
2026-08-01,2005,OpenX,mobile,74000,888,29,491.08,2026-08-02 03:13:00
2026-08-01,2006,Index Exchange,ctv,320000,1140,81,2148.72,2026-08-02 03:28:00
2026-08-01,2008,OpenX,desktop,42000,504,17,286.40,2026-08-02 03:15:00
2026-08-02,2001,OpenX,mobile,132000,1505,65,752.11,2026-08-03 03:11:00
2026-08-02,2001,PubMatic,desktop,87000,842,35,442.09,2026-08-03 03:16:00
2026-08-02,2002,OpenX,mobile,64000,1184,91,407.55,2026-08-03 03:13:00
2026-08-02,2003,Index Exchange,desktop,218000,1308,11,906.30,2026-08-03 09:47:00
2026-08-02,2005,OpenX,mobile,0,0,0,0.00,2026-08-03 03:12:00
2026-08-02,2006,Index Exchange,ctv,337000,1219,88,2268.95,2026-08-03 03:30:00
2026-08-03,2001,OpenX,mobile,129000,1470,63,739.08,2026-08-04 03:12:00
2026-08-03,2001,PubMatic,desktop,81000,768,29,405.62,2026-08-04 03:20:00
2026-08-03,2002,OpenX,mobile,67000,1221,94,423.41,2026-08-04 03:14:00
2026-08-03,2003,Index Exchange,desktop,224000,1355,12,928.15,2026-08-04 08:52:00
2026-08-03,2005,OpenX,mobile,11000,98,1,72.18,2026-08-04 03:15:00
2026-08-03,2006,Index Exchange,ctv,341000,1240,92,2282.10,2026-08-04 03:31:00
